# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 200.0, #temperature sampling points = 100
# min pressure = 101325.0, max pressure = 100000000.0, #pressure sampling points = 200
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg], thermal_conductivity [W/m.K], cv [J/kg.K], cp [J/kg.K], internal energy [J/kg.K]
1.00000000000e+00, 3.27315454774e+07, 1.05901416544e+03, 1.49389463784e-04, 1.96239847905e+05, 1.42378744811e-01, 9.33398550832e+02, 1.84090127404e+03, 1.65332286377e+05 
1.00000000000e+00, 3.32335488693e+07, 1.06044478196e+03, 1.50081417491e-04, 1.96315102688e+05, 1.42810842379e-01, 9.33620613483e+02, 1.83729678516e+03, 1.64975848221e+05 
1.00000000000e+00, 3.37355522613e+07, 1.06186105924e+03, 1.50770606205e-04, 1.96393084582e+05, 1.43240272686e-01, 9.33843029278e+02, 1.83377010796e+03, 1.64622871363e+05 
1.00000000000e+00, 3.42375556533e+07, 1.06326332466e+03, 1.51457093690e-04, 1.96473728475e+05, 1.43667091692e-01, 9.34065768892e+02, 1.83031860992e+03, 1.64273280233e+05 
1.00000000000e+00, 3.47395590452e+07, 1.06465189392e+03, 1.52140941466e-04, 1.96556971594e+05, 1.44091353468e-01, 9.34288805804e+02, 1.82693978163e+03, 1.63927001888e+05 
1.00000000000e+00, 3.52415624372e+07, 1.06602707161e+03, 1.52822208922e-04, 1.96642753397e+05, 1.44513110284e-01, 9.34512116036e+02, 1.82363122952e+03, 1.63583965890e+05 
1.00000000000e+00, 3.57435658291e+07, 1.06738915174e+03, 1.53500953414e-04, 1.96731015468e+05, 1.44932412691e-01, 9.34735677921e+02, 1.82039066897e+03, 1.63244104185e+05 
1.00000000000e+00, 3.62455692211e+07, 1.06873841826e+03, 1.54177230362e-04, 1.96821701409e+05, 1.45349309600e-01, 9.34959471886e+02, 1.81721591810e+03, 1.62907350991e+05 
1.00000000000e+00, 3.67475726131e+07, 1.07007514548e+03, 1.54851093341e-04, 1.96914756752e+05, 1.45763848357e-01, 9.35183480261e+02, 1.81410489178e+03, 1.62573642702e+05 
1.00000000000e+00, 3.72495760050e+07, 1.07139959858e+03, 1.55522594164e-04, 1.97010128869e+05, 1.46176074811e-01, 9.35407687105e+02, 1.81105559624e+03, 1.62242917779e+05 
1.00000000000e+00, 3.77515793970e+07, 1.07271203398e+03, 1.56191782963e-04, 1.97107766887e+05, 1.46586033380e-01, 9.35632078048e+02, 1.80806612393e+03, 1.61915116669e+05 
1.00000000000e+00, 3.82535827889e+07, 1.07401269974e+03, 1.56858708264e-04, 1.97207621611e+05, 1.46993767112e-01, 9.35856640145e+02, 1.80513464878e+03, 1.61590181707e+05 
1.00000000000e+00, 3.87555861809e+07, 1.07530183594e+03, 1.57523417057e-04, 1.97309645448e+05, 1.47399317746e-01, 9.36081361746e+02, 1.80225942178e+03, 1.61268057044e+05 
1.00000000000e+00, 3.92575895729e+07, 1.07657967504e+03, 1.58185954863e-04, 1.97413792337e+05, 1.47802725764e-01, 9.36306232380e+02, 1.79943876682e+03, 1.60948688561e+05 
1.00000000000e+00, 3.97595929648e+07, 1.07784644216e+03, 1.58846365798e-04, 1.97520017683e+05, 1.48204030445e-01, 9.36531242646e+02, 1.79667107682e+03, 1.60632023801e+05 
1.00000000000e+00, 4.02615963568e+07, 1.07910235548e+03, 1.59504692634e-04, 1.97628278295e+05, 1.48603269916e-01, 9.36756384114e+02, 1.79395481014e+03, 1.60318011894e+05 
1.00000000000e+00, 4.07635997487e+07, 1.08034762644e+03, 1.60160976851e-04, 1.97738532325e+05, 1.49000481196e-01, 9.36981649238e+02, 1.79128848712e+03, 1.60006603499e+05 
1.00000000000e+00, 4.12656031407e+07, 1.08158246008e+03, 1.60815258696e-04, 1.97850739213e+05, 1.49395700240e-01, 9.37207031270e+02, 1.78867068698e+03, 1.59697750732e+05 
1.00000000000e+00, 4.17676065327e+07, 1.08280705528e+03, 1.61467577229e-04, 1.97964859633e+05, 1.49788961987e-01, 9.37432524195e+02, 1.78610004476e+03, 1.59391407116e+05 
1.00000000000e+00, 4.22696099246e+07, 1.08402160505e+03, 1.62117970375e-04, 1.98080855443e+05, 1.50180300394e-01, 9.37658122653e+02, 1.78357524860e+03, 1.59087527517e+05 
1.00000000000e+00, 4.27716133166e+07, 1.08522629669e+03, 1.62766474966e-04, 1.98198689638e+05, 1.50569748474e-01, 9.37883821887e+02, 1.78109503704e+03, 1.58786068098e+05 
1.00000000000e+00, 4.32736167085e+07, 1.08642131209e+03, 1.63413126787e-04, 1.98318326301e+05, 1.50957338338e-01, 9.38109617680e+02, 1.77865819662e+03, 1.58486986261e+05 
1.00000000000e+00, 4.37756201005e+07, 1.08760682793e+03, 1.64057960615e-04, 1.98439730565e+05, 1.51343101223e-01, 9.38335506309e+02, 1.77626355949e+03, 1.58190240605e+05 
1.00000000000e+00, 4.42776234925e+07, 1.08878301584e+03, 1.64701010259e-04, 1.98562868567e+05, 1.51727067528e-01, 9.38561484494e+02, 1.77391000125e+03, 1.57895790877e+05 
1.00000000000e+00, 4.47796268844e+07, 1.08995004265e+03, 1.65342308598e-04, 1.98687707413e+05, 1.52109266845e-01, 9.38787549360e+02, 1.77159643891e+03, 1.57603597929e+05 
1.00000000000e+00, 4.52816302764e+07, 1.09110807053e+03, 1.65981887614e-04, 1.98814215138e+05, 1.52489727988e-01, 9.39013698395e+02, 1.76932182893e+03, 1.57313623676e+05 
1.00000000000e+00, 4.57836336683e+07, 1.09225725722e+03, 1.66619778428e-04, 1.98942360673e+05, 1.52868479021e-01, 9.39239929414e+02, 1.76708516536e+03, 1.57025831059e+05 
1.00000000000e+00, 4.62856370603e+07, 1.09339775611e+03, 1.67256011329e-04, 1.99072113809e+05, 1.53245547286e-01, 9.39466240530e+02, 1.76488547817e+03, 1.56740184005e+05 
1.00000000000e+00, 4.67876404523e+07, 1.09452971650e+03, 1.67890615808e-04, 1.99203445167e+05, 1.53620959427e-01, 9.39692630122e+02, 1.76272183158e+03, 1.56456647390e+05 
1.00000000000e+00, 4.72896438442e+07, 1.09565328367e+03, 1.68523620584e-04, 1.99336326166e+05, 1.53994741417e-01, 9.39919096808e+02, 1.76059332253e+03, 1.56175187009e+05 
1.00000000000e+00, 4.77916472362e+07, 1.09676859908e+03, 1.69155053634e-04, 1.99470728995e+05, 1.54366918580e-01, 9.40145639423e+02, 1.75849907919e+03, 1.55895769540e+05 
1.00000000000e+00, 4.82936506281e+07, 1.09787580047e+03, 1.69784942218e-04, 1.99606626583e+05, 1.54737515613e-01, 9.40372256991e+02, 1.75643825966e+03, 1.55618362512e+05 
1.00000000000e+00, 4.87956540201e+07, 1.09897502201e+03, 1.70413312904e-04, 1.99743992578e+05, 1.55106556607e-01, 9.40598948712e+02, 1.75441005057e+03, 1.55342934280e+05 
1.00000000000e+00, 4.92976574121e+07, 1.10006639442e+03, 1.71040191594e-04, 1.99882801314e+05, 1.55474065071e-01, 9.40825713937e+02, 1.75241366592e+03, 1.55069453991e+05 
1.00000000000e+00, 4.97996608040e+07, 1.10115004512e+03, 1.71665603545e-04, 2.00023027792e+05, 1.55840063947e-01, 9.41052552153e+02, 1.75044834585e+03, 1.54797891558e+05 
1.00000000000e+00, 5.03016641960e+07, 1.10222609828e+03, 1.72289573390e-04, 2.00164647656e+05, 1.56204575631e-01, 9.41279462969e+02, 1.74851335558e+03, 1.54528217639e+05 
1.00000000000e+00, 5.08036675879e+07, 1.10329467498e+03, 1.72912125165e-04, 2.00307637169e+05, 1.56567621992e-01, 9.41506446098e+02, 1.74660798431e+03, 1.54260403605e+05 
1.00000000000e+00, 5.13056709799e+07, 1.10435589333e+03, 1.73533282321e-04, 2.00451973193e+05, 1.56929224387e-01, 9.41733501350e+02, 1.74473154428e+03, 1.53994421520e+05 
1.00000000000e+00, 5.18076743719e+07, 1.10540986851e+03, 1.74153067749e-04, 2.00597633172e+05, 1.57289403677e-01, 9.41960628612e+02, 1.74288336974e+03, 1.53730244118e+05 
1.00000000000e+00, 5.23096777638e+07, 1.10645671292e+03, 1.74771503797e-04, 2.00744595105e+05, 1.57648180248e-01, 9.42187827847e+02, 1.74106281613e+03, 1.53467844779e+05 
1.00000000000e+00, 5.28116811558e+07, 1.10749653624e+03, 1.75388612287e-04, 2.00892837536e+05, 1.58005574018e-01, 9.42415099075e+02, 1.73926925918e+03, 1.53207197511e+05 
1.00000000000e+00, 5.33136845477e+07, 1.10852944554e+03, 1.76004414532e-04, 2.01042339527e+05, 1.58361604460e-01, 9.42642442369e+02, 1.73750209408e+03, 1.52948276927e+05 
1.00000000000e+00, 5.38156879397e+07, 1.10955554535e+03, 1.76618931353e-04, 2.01193080652e+05, 1.58716290610e-01, 9.42869857848e+02, 1.73576073476e+03, 1.52691058229e+05 
1.00000000000e+00, 5.43176913317e+07, 1.11057493776e+03, 1.77232183094e-04, 2.01345040969e+05, 1.59069651081e-01, 9.43097345666e+02, 1.73404461309e+03, 1.52435517185e+05 
1.00000000000e+00, 5.48196947236e+07, 1.11158772247e+03, 1.77844189640e-04, 2.01498201013e+05, 1.59421704080e-01, 9.43324906006e+02, 1.73235317823e+03, 1.52181630116e+05 
1.00000000000e+00, 5.53216981156e+07, 1.11259399689e+03, 1.78454970423e-04, 2.01652541778e+05, 1.59772467415e-01, 9.43552539078e+02, 1.73068589592e+03, 1.51929373875e+05 
1.00000000000e+00, 5.58237015075e+07, 1.11359385619e+03, 1.79064544447e-04, 2.01808044700e+05, 1.60121958513e-01, 9.43780245107e+02, 1.72904224788e+03, 1.51678725831e+05 
